ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),restaurant_hex_zone,delivery_hex_zone,r_city,d_city,state,busy_tag
0x8bc0,SURRES15DEL03,35.0,4.3,21.160522,72.771477,21.250522,72.861477,12-03-2022,23:20,23:30,Cloudy,Low,1,Drinks,scooter,0.0,No,Metropolitian,38,8a42d9d632b7fff,8a42d998a6c7fff,Surat,Utran,Gujarat,Moderate
0xbff,SURRES16DEL02,36.0,4.1,21.160437,72.774209,21.210437,72.824209,05-03-2022,22:35,22:40,Stormy,Low,0,Drinks,motorcycle,1.0,No,Urban,22,8a42d9d6328ffff,8a42d999ac6ffff,Surat,Surat,Gujarat,Moderate
0x6531,SURRES08DEL01,20.0,4.8,21.173343,72.792731,21.183343,72.802731,30-03-2022,0.458333333,11:10,Sandstorms,Low,2,Meal,scooter,1.0,No,Metropolitian,19,8a42d9d6e31ffff,8a42d9d6888ffff,Surat,Surat,Gujarat,Moderate
0xb796,SURRES17DEL03,37.0,4.7,21.149569,72.772697,21.239569,72.862697,04-04-2022,19:45,19:50,Sandstorms,Jam,0,Snack,motorcycle,3.0,No,Metropolitian,52,8a42d9d45d87fff,8a42d9999277fff,Surat,Utran,Gujarat,Moderate
0x3556,SURRES09DEL01,33.0,5.0,21.175975,72.795503,21.185975,72.805503,19-03-2022,11:30,11:40,Sunny,High,2,Snack,scooter,1.0,No,Metropolitian,18,8a42d9d6e36ffff,8a42d9d68bb7fff,Surat,Surat,Gujarat,Moderate
0x3da1,SURRES08DEL03,31.0,4.7,21.173343,72.792731,21.233343,72.852731,26-03-2022,22:50,23:05,Cloudy,Low,2,Snack,motorcycle,0.0,No,Metropolitian,16,8a42d9d6e31ffff,8a42d9999737fff,Surat,Utran,Gujarat,Moderate
0x73cc,SURRES12DEL01,30.0,4.4,21.183434,72.814492,21.253434,72.884492,12-03-2022,22:40,22:55,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,34,8a42d9d68377fff,8a42d98a5c17fff,Surat,Utran,Gujarat,Moderate
0x8b53,SURRES11DEL01,22.0,4.7,21.157735,72.768778,21.197735,72.808778,17-03-2022,12:10,12:15,Sunny,High,1,Buffet,scooter,1.0,No,Urban,18,8a42d9d63627fff,8a42d9d6d08ffff,Surat,Surat,Gujarat,Moderate
0xbbde,SURRES01DEL01,32.0,4.6,21.186438,72.794115,21.226438,72.834115,15-03-2022,15:30,15:45,Fog,Medium,1,Meal,scooter,0.0,No,Metropolitian,17,8a42d9d6c677fff,8a42d99980dffff,Surat,Amroli,Gujarat,Moderate
0x2dc6,VADRES20DEL01,34.0,4.7,22.311358,73.164798,22.351358,73.204798,19-03-2022,12:35,12:45,Windy,High,2,Drinks,electric_scooter,1.0,No,Metropolitian,28,8a42ca853467fff,8a42ca85dcc7fff,Vadodara,Vadodara,Gujarat,Moderate
0xb437,SURRES16DEL01,25.0,5.0,21.160437,72.774209,21.270437,72.884209,18-03-2022,20:25,20:40,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,15,8a42d9d6328ffff,8a42d998b347fff,Surat,Utran,Gujarat,Moderate
0x1b8d,SURRES09DEL02,27.0,4.7,21.175975,72.795503,21.195975,72.815503,15-03-2022,10:55,11:10,Sandstorms,Low,2,Snack,scooter,0.0,No,Urban,12,8a42d9d6e36ffff,8a42d9d6d667fff,Surat,Surat,Gujarat,Moderate
0x1e42,SURRES08DEL01,25.0,4.6,21.173343,72.792731,21.283343,72.902731,10-03-2022,23:20,23:35,Sunny,Low,0,Drinks,motorcycle,1.0,No,Metropolitian,23,8a42d9d6e31ffff,8a42d9816a47fff,Surat,Kathor,Gujarat,Moderate
