ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),restaurant_hex_zone,delivery_hex_zone,r_city,d_city,state,busy_tag
0x2784,PUNERES13DEL03,23.0,4.7,18.56245,73.916619,18.65245,74.006619,04-03-2022,17:30,17:40,Sandstorms,Medium,1,Drinks,scooter,1.0,No,Metropolitian,21,8a608851464ffff,8a608e25a537fff,Lohogaon,Koregaon,Maharashtra,Unlisted
0x3af3,MUMRES15DEL03,29.0,4.5,19.176269,72.836721,19.266269,72.926721,02-04-2022,20:25,20:35,Sandstorms,Jam,2,Buffet,electric_scooter,1.0,No,Metropolitian,20,8a608b463a97fff,8a608b40eb4ffff,Borivli,Borivli,Maharashtra,Unlisted
0x689b,PUNERES20DEL01,33.0,4.2,18.592718,73.773572,18.702718,73.883572,16-03-2022,20:30,20:40,Sandstorms,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,40,8a6088405da7fff,8a608859d527fff,Pimpri,Alandi,Maharashtra,Unlisted
0x36b8,PUNERES19DEL02,25.0,4.1,18.563934,73.915367,18.643935,73.995367,16-03-2022,20:20,20:25,Sandstorms,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,36,8a60885109affff,8a608e25aa9ffff,Lohogaon,Koregaon,Maharashtra,Unlisted
0x539b,MUMRES02DEL01,25.0,4.0,19.221315,72.862381,19.261315,72.902381,26-03-2022,12:25,12:30,Cloudy,High,1,Buffet,motorcycle,1.0,No,Metropolitian,34,8a608b473b5ffff,8a608b409daffff,Borivli,Borivli,Maharashtra,Unlisted
0x3c5e,PUNERES04DEL01,23.0,4.8,18.51421,73.838429,18.62421,73.948429,02-04-2022,23:35,23:45,Windy,Low,2,Buffet,electric_scooter,0.0,No,Urban,12,8a608850eb47fff,8a60885a0d9ffff,Pune,Lohogaon,Maharashtra,Unlisted
0x30c8,PUNERES19DEL02,32.0,4.6,18.563934,73.915367,18.693935,74.045367,02-04-2022,22:35,22:45,Cloudy,Low,2,Drinks,scooter,1.0,No,Metropolitian,30,8a60885109affff,8a608e2ee4cffff,Lohogaon,Koregaon,Maharashtra,Unlisted
0xb843,PUNERES02DEL01,33.0,4.9,18.55144,73.804855,18.62144,73.874855,08-03-2022,18:55,19:10,Sunny,Medium,1,Snack,motorcycle,1.0,No,Metropolitian,22,8a60884243affff,8a60885a839ffff,Khadki,Lohogaon,Maharashtra,Unlisted
0xb3a0,PUNERES18DEL01,20.0,4.7,18.593481,73.785901,18.633481,73.825901,03-04-2022,14:15,14:25,Windy,High,1,Snack,scooter,0.0,No,Urban,10,8a6088404807fff,8a6088432b9ffff,Pimpri,Pimpri,Maharashtra,Unlisted
0x4f0,MUMRES17DEL02,,,19.121999,72.908493,19.201999,72.988493,06-04-2022,,18:35,Cloudy,Medium,1,Drinks,scooter,1.0,No,Metropolitian,33,8a608b54e887fff,8a608b4253a7fff,Powai,Thane,Maharashtra,Unlisted
0x85b4,MUMRES07DEL01,28.0,4.6,19.091458,72.827808,19.201458,72.937808,08-03-2022,19:10,19:25,Stormy,Jam,1,Snack,scooter,1.0,No,Metropolitian,22,8a608b095c6ffff,8a608b42d0a7fff,Mumbai,Thane,Maharashtra,Unlisted
0x6999,MUMRES02DEL03,23.0,4.9,19.221315,72.862381,19.281315,72.922381,24-03-2022,21:40,21:45,Sunny,Jam,2,Drinks,electric_scooter,0.0,No,Metropolitian,11,8a608b473b5ffff,8a608b40a907fff,Borivli,Bhayandar,Maharashtra,Unlisted
0xbe80,MUMRES04DEL01,33.0,5.0,19.254567,72.848923,19.364567,72.958923,31-03-2022,23:50,23:55,Sandstorms,Low,0,Buffet,motorcycle,0.0,No,Urban,24,8a608b455697fff,8a608b4a9d8ffff,Borivli,Bhiwandi,Maharashtra,Unlisted
0x1609,PUNERES02DEL01,36.0,4.9,18.55144,73.804855,18.59144,73.844855,17-03-2022,15:25,15:40,Fog,Medium,2,Drinks,scooter,1.0,No,Metropolitian,17,8a60884243affff,8a608851a2c7fff,Khadki,Khadki,Maharashtra,Unlisted
0x34d7,MUMRES04DEL01,25.0,4.7,19.254567,72.848923,19.364567,72.958923,27-03-2022,18:20,18:25,Stormy,Medium,0,Meal,motorcycle,0.0,No,Urban,20,8a608b455697fff,8a608b4a9d8ffff,Borivli,Bhiwandi,Maharashtra,Unlisted
0x837c,PUNERES14DEL02,39.0,4.8,18.516216,73.842527,18.566216,73.892527,03-03-2022,21:55,22:10,Stormy,Jam,1,Meal,motorcycle,,No,Metropolitian,28,8a608850e84ffff,8a6088511577fff,Pune,Khadki,Maharashtra,Unlisted
0xc19e,AURGRES08DEL02,37.0,4.6,19.876428,75.364792,19.956428,75.444792,18-02-2022,23:30,23:45,Fog,Low,0,Buffet,motorcycle,2.0,Yes,Urban,42,8a609c36c917fff,8a609c376ad7fff,Aurangabad,Aurangabad,Maharashtra,Unlisted
0xa3e0,MUMRES05DEL03,36.0,4.7,18.927584,72.832585,19.017584,72.922585,04-04-2022,23:40,23:50,Sandstorms,Low,2,Drinks,electric_scooter,0.0,No,Metropolitian,29,8a608b032867fff,8a608b19154ffff,Uran,Mumbai,Maharashtra,Unlisted
0x2558,PUNERES17DEL01,21.0,4.8,18.530963,73.828972,18.640963,73.938972,04-03-2022,23:30,23:45,Windy,Low,0,Snack,motorcycle,0.0,No,Metropolitian,19,8a608850a857fff,8a60885a2a97fff,Shivaji Nagar,Lohogaon,Maharashtra,Unlisted
0x3c57,MUMRES14DEL02,23.0,4.8,19.1813,72.836191,19.3113,72.966191,16-03-2022,22:50,0.958333333,Windy,Low,0,Meal,motorcycle,0.0,No,Metropolitian,17,8a608b4630cffff,8a608b41cc97fff,Borivli,Bhiwandi,Maharashtra,Unlisted
0x9f99,MUMRES11DEL01,23.0,4.8,18.994237,72.825553,19.104237,72.935553,18-03-2022,22:35,22:40,Cloudy,Low,2,Snack,scooter,1.0,No,Urban,22,8a608b0a5187fff,8a608b545737fff,Mumbai,Powai,Maharashtra,Unlisted
0x3f01,MUMRES15DEL01,39.0,3.8,19.176269,72.836721,19.286269,72.946721,16-03-2022,19:55,0.833333333,Windy,Jam,1,Drinks,motorcycle,0.0,No,Metropolitian,37,8a608b463a97fff,8a608b40338ffff,Borivli,Thane,Maharashtra,Unlisted
0xb46c,MUMRES17DEL01,34.0,4.7,19.121999,72.908493,19.161999,72.948493,01-03-2022,14:20,14:35,Sunny,High,2,Snack,scooter,0.0,No,Metropolitian,23,8a608b54e887fff,8a608b551157fff,Powai,Thane,Maharashtra,Unlisted
0x4460,PUNERES09DEL02,32.0,4.9,18.536562,73.896485,18.556562,73.916485,07-03-2022,08:50,08:55,Fog,Low,2,Snack,motorcycle,0.0,No,Metropolitian,18,8a6088506687fff,8a6088514207fff,Shivaji Nagar,Lohogaon,Maharashtra,Unlisted
0x1ec7,PUNERES05DEL03,,,18.543626,73.905101,18.573626,73.935101,09-03-2022,,23:40,Stormy,Low,2,Snack,scooter,0.0,No,,19,8a60885158cffff,8a60885168a7fff,Shivaji Nagar,Lohogaon,Maharashtra,Unlisted
0x4c88,MUMRES08DEL01,31.0,3.9,19.065838,72.832658,19.135838,72.902658,18-03-2022,23:40,23:50,Cloudy,Low,1,Buffet,scooter,1.0,No,Metropolitian,35,8a608b0b178ffff,8a608b55db6ffff,Mumbai,Powai,Maharashtra,Unlisted
0x5397,PUNERES18DEL01,38.0,4.4,18.593481,73.785901,18.663481,73.855901,31-03-2022,17:20,17:25,Windy,Medium,0,Buffet,motorcycle,1.0,No,Metropolitian,33,8a6088404807fff,8a60885888affff,Pimpri,Alandi,Maharashtra,Unlisted
0x4a3c,MUMRES13DEL01,33.0,5.0,19.178321,72.834715,19.188321,72.844715,19-03-2022,11:45,11:50,Windy,High,1,Meal,motorcycle,1.0,No,Metropolitian,31,8a608b4633a7fff,8a608b4634a7fff,Borivli,Borivli,Maharashtra,Unlisted
0x63a9,PUNERES17DEL03,28.0,4.8,18.530963,73.828972,18.590963,73.888972,03-03-2022,0.791666667,19:05,Fog,Medium,1,Buffet,scooter,1.0,No,Urban,11,8a608850a857fff,8a6088513637fff,Shivaji Nagar,Lohogaon,Maharashtra,Unlisted
0x3f8d,MUMRES06DEL03,25.0,4.8,19.055831,72.833984,19.115831,72.893984,15-03-2022,19:50,20:05,Cloudy,Jam,2,Snack,motorcycle,1.0,No,Metropolitian,22,8a608b0b115ffff,8a608b548d07fff,Mumbai,Powai,Maharashtra,Unlisted
0x7a1f,PUNERES19DEL03,23.0,4.6,18.563934,73.915367,18.653934,74.005367,31-03-2022,21:40,21:55,Fog,Jam,0,Snack,motorcycle,2.0,Yes,Metropolitian,46,8a60885109affff,8a608e25a5affff,Lohogaon,Koregaon,Maharashtra,Unlisted
0x46fd,PUNERES09DEL03,29.0,4.8,18.536562,73.896485,18.596562,73.956485,11-03-2022,19:35,19:40,Cloudy,Jam,0,Meal,motorcycle,1.0,No,Metropolitian,25,8a6088506687fff,8a608e24b59ffff,Shivaji Nagar,Lohogaon,Maharashtra,Unlisted
0x644b,MUMRES20DEL03,34.0,4.0,19.103249,72.846749,19.193249,72.936749,12-03-2022,21:10,21:15,Windy,Jam,0,Snack,motorcycle,2.0,No,Metropolitian,39,8a608b094197fff,8a608b42dbb7fff,Mumbai,Thane,Maharashtra,Unlisted
0xc278,AURGRES19DEL01,22.0,4.8,19.866969,75.318894,19.976969,75.428894,18-02-2022,22:45,0.958333333,Sandstorms,Low,1,Drinks,motorcycle,1.0,No,Metropolitian,16,8a609dd9ac4ffff,8a609c37276ffff,Aurangabad,Aurangabad,Maharashtra,Unlisted
0x5912,PUNERES18DEL01,38.0,4.7,18.593481,73.785901,18.603481,73.795901,19-03-2022,0.458333333,11:15,Sunny,Low,2,Drinks,scooter,1.0,No,Metropolitian,19,8a6088404807fff,8a6088431ac7fff,Pimpri,Pimpri,Maharashtra,Unlisted
0x1dad,MUMRES01DEL01,20.0,4.8,19.12663,72.829976,19.13663,72.839976,28-03-2022,11:30,11:40,Sunny,High,1,Snack,motorcycle,0.0,No,Metropolitian,14,8a608b092b37fff,8a608b092c37fff,Mumbai,Powai,Maharashtra,Unlisted
0xc918,AURGRES14DEL03,28.0,5.0,19.875016,75.322405,19.965016,75.412405,16-02-2022,22:35,22:45,Windy,Low,0,Snack,motorcycle,0.0,No,Urban,15,8a609dd9a5affff,8a609c37302ffff,Aurangabad,Aurangabad,Maharashtra,Unlisted
0x33c1,MUMRES13DEL01,25.0,4.7,19.178321,72.834715,19.248321,72.904715,16-03-2022,23:35,23:45,Sandstorms,Low,0,Meal,motorcycle,1.0,No,Metropolitian,16,8a608b4633a7fff,8a608b40d0effff,Borivli,Borivli,Maharashtra,Unlisted
0x1b50,PUNERES16DEL01,,,18.536718,73.830327,18.646718,73.940327,08-03-2022,,21:25,,,3,Buffet,motorcycle,1.0,Yes,Urban,43,8a608850ac4ffff,8a60885a20d7fff,Shivaji Nagar,Lohogaon,Maharashtra,Unlisted
