ID,Delivery_person_ID,Delivery_person_Age,Delivery_person_Ratings,Restaurant_latitude,Restaurant_longitude,Delivery_location_latitude,Delivery_location_longitude,Order_Date,Time_Orderd,Time_Order_picked,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_order,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),restaurant_hex_zone,delivery_hex_zone,r_city,d_city,state,busy_tag
0xdb64,KNPRES14DEL02,24.0,4.7,26.463504,80.372929,26.593504,80.502929,14-02-2022,19:50,20:05,Fog,Jam,1,Snack,scooter,1.0,No,Metropolitian,41,8a3d8c7644d7fff,8a3d8c3ab50ffff,Kanpur,Unnao,Uttar Pradesh,Unlisted
0xddc5,AGRRES12DEL03,39.0,4.6,27.165108,78.015053,27.255108,78.105053,14-02-2022,22:45,0.958333333,Sunny,Low,1,Snack,motorcycle,1.0,No,Metropolitian,27,8a3d8584a767fff,8a3d85b00977fff,Agra,Dayal Bagh,Uttar Pradesh,Unlisted
0xd255,ALHRES07DEL02,21.0,4.8,25.449659,81.839744,25.469659,81.859744,15-02-2022,10:20,10:30,Sandstorms,Low,2,Meal,electric_scooter,0.0,No,Metropolitian,14,8a3d8b1210b7fff,8a3d8b12c90ffff,Allahabad,Allahabad,Uttar Pradesh,Unlisted
0xddc8,KNPRES05DEL02,39.0,4.7,26.479108,80.315042,26.499108,80.335042,11-02-2022,10:35,10:50,Cloudy,Low,1,Meal,scooter,0.0,No,Metropolitian,15,8a3d8c0dcb5ffff,8a3d8c0ce037fff,Nawabganj,Nawabganj,Uttar Pradesh,Unlisted
0xe264,KNPRES17DEL02,22.0,4.5,26.483042,80.317833,26.533042,80.367833,15-02-2022,22:20,22:35,Sandstorms,Low,1,Drinks,scooter,1.0,No,Metropolitian,18,8a3d8c0c3617fff,8a3d8c0cdaa7fff,Nawabganj,Nawabganj,Uttar Pradesh,Unlisted
0xc141,ALHRES12DEL01,39.0,4.7,25.443994,81.860187,25.513994,81.930187,16-02-2022,18:45,0.791666667,Fog,Medium,2,Meal,motorcycle,1.0,No,Metropolitian,38,8a3d8b12e167fff,8a3d8b8dd647fff,Allahabad,Jhusi,Uttar Pradesh,Unlisted
0xd02b,KNPRES16DEL03,26.0,4.1,26.482581,80.315628,26.572581,80.405628,12-02-2022,19:45,19:50,Fog,Jam,2,Meal,motorcycle,1.0,No,Metropolitian,36,8a3d8c0c3787fff,8a3d8c3b19a7fff,Nawabganj,Unnao,Uttar Pradesh,Unlisted
0xe00d,ALHRES07DEL03,29.0,4.6,25.449659,81.839744,25.479659,81.869744,15-02-2022,20:30,20:45,Stormy,Jam,1,Meal,scooter,1.0,No,Metropolitian,29,8a3d8b1210b7fff,8a3d8b8d3087fff,Allahabad,Allahabad,Uttar Pradesh,Unlisted
0xe13f,KNPRES02DEL02,33.0,4.6,26.471617,80.313564,26.491617,80.333564,11-02-2022,0.458333333,11:10,Fog,Low,1,Buffet,motorcycle,1.0,No,Metropolitian,15,8a3d8c0dc06ffff,8a3d8c0ce40ffff,Nawabganj,Nawabganj,Uttar Pradesh,Unlisted
0xdd96,KNPRES16DEL01,32.0,4.8,26.482581,80.315628,26.552581,80.385628,14-02-2022,0.875,21:10,Sunny,Jam,2,Meal,scooter,1.0,No,Metropolitian,25,8a3d8c0c3787fff,8a3d8c3b050ffff,Nawabganj,Nawabganj,Uttar Pradesh,Unlisted
0xd032,AGRRES08DEL03,21.0,4.8,27.160934,78.044095,27.220934,78.104095,11-02-2022,18:55,0.791666667,Sunny,Medium,1,Buffet,motorcycle,1.0,No,Metropolitian,11,8a3d85ba5caffff,8a3d85b0256ffff,Agra,Dayal Bagh,Uttar Pradesh,Unlisted
